"","Method","Accession","Species","b","k","twenty","fifty","eighty","tmax"
"1","L_Nitrogen_Gomp","1115-76 A","TATA",5.56573577677907,0.0857454351099422,-4.47009038002458,-14.2944957822324,-27.5130078199237,-10.0200650780004
"2","L_Nitrogen_Gomp","115-2000 A","TATA",4.99888464579129,0.0668564144461292,-6.95169911175013,-19.5518052180618,-36.5049588618476,-14.0697146270836
"3","L_Nitrogen_Gomp","122-2003 B","DAVI",16.0088027467361,0.113279032294976,-10.2796025067794,-17.716088313925,-27.7217093297052,-14.4806005704627
"4","L_Nitrogen_Gomp","124-2005 C","SPIC",4.69011245485074,0.0782951379080855,-3.66076608332126,-14.4200282599548,-28.8963686363961,-9.73885736768396
"5","L_Nitrogen_Gomp","126-2003 B","DAVI",11.0988299169371,0.0882762313292677,-11.8740046496083,-21.4167536231871,-34.2563033990515,-17.264866812177
"6","L_Nitrogen_Gomp","1400-77 E","TEGM",13.4615212527666,0.107066259246004,-9.83771878952071,-17.7057242829527,-28.291945134973,-14.2824897068802
"7","L_Nitrogen_Gomp","172-2001 B","CAMP",5.82905472989966,0.0484809022957722,-16.5459137926943,-33.9217850330742,-57.300621079958,-26.3618407410797
"8","L_Nitrogen_Gomp","187-2006 B","SACC",3.80695860772226,0.0454224773371424,-8.95417554942748,-27.5000137619976,-52.4530135238806,-19.4310368574296
"9","L_Nitrogen_Gomp","19634 A","PSEP",10.9955961218328,0.0792413285246055,-14.2500962632326,-24.8808861754335,-39.1843700680074,-20.2556113673785
"10","L_Nitrogen_Gomp","207-2005 A","RUBR",16.6169893637595,0.118788379234625,-9.65293783240203,-16.7445230643624,-26.2860882703255,-13.6590956602411
"11","L_Nitrogen_Gomp","22858 B","PSEP",24.1760126722609,0.113262422245546,-13.922108327298,-21.3596847026515,-31.3667730529311,-18.1237224716205
"12","L_Nitrogen_Gomp","246-2010 A","SACC",22.3494486212378,0.0966242188045038,-17.228335584896,-25.9466251227723,-37.6768836459597,-22.1534465065165
"13","L_Nitrogen_Gomp","270-2010 A","SPIC",6.61026631091103,0.0648571265620942,-11.7823240359916,-24.7708414212363,-42.2465935283345,-19.1197597281433
"14","L_Nitrogen_Gomp","31-73 A","HYRC",11.9606907750639,0.0941823853211795,-11.2963443408225,-20.2406698963501,-32.2750546946609,-16.3491468760764
"15","L_Nitrogen_Gomp","31-73 B","HYRC",5.20782505737975,0.0614445610863139,-9.1111678091814,-22.8210536154356,-41.2673903804696,-16.8561168642916
"16","L_Nitrogen_Gomp","31-73 C","HYRC",8.09670631949838,0.0686036409142591,-13.5493675685921,-25.8285688570719,-42.3499524319525,-20.4860984619549
"17","L_Nitrogen_Gomp","33-95 B","TEGM",4.14675177689482,0.0640595448341419,-4.77438421597073,-17.9246168329812,-35.6179530736996,-12.2031756093413
"18","L_Nitrogen_Gomp","379-2007 A","CAMP",3.33450095952289,0.0357736389969307,-10.3624248453372,-33.9104322476887,-65.5937358745603,-23.6650971110225
"19","L_Nitrogen_Gomp","435-84 A","CAUD",47.0685119350442,0.191328980664573,-7.64353332144859,-12.0464100470902,-17.970379652954,-10.130793712813
"20","L_Nitrogen_Gomp","435-84 B","CAUD",100,0.205226802362211,-10.1205941092094,-14.2253109698366,-19.7481133189052,-12.4394188915944
"21","L_Nitrogen_Gomp","435-84 C","CAUD",36.1018712285488,0.177019588144066,-7.5712740938182,-12.3300577105962,-18.7328918718384,-10.2595923772153
"22","L_Nitrogen_Gomp","524-2009 A","RUBR",100,0.224866253660417,-8.36329428468552,-12.1095118793493,-17.1499616921945,-10.4795966981449
"23","L_Nitrogen_Gomp","530-2008 A","SACC",15.6108385955313,0.0868477481107689,-16.1616508069524,-25.861360174596,-38.9120965590585,-21.6411825815719
"24","L_Nitrogen_Gomp","531-94 A","TEGM",27.5273623575183,0.129739115119513,-11.8846529581269,-18.3776671515162,-27.1138687599036,-15.5526677652938
"25","L_Nitrogen_Gomp","567-2008 B","RUBR",7.58339818581343,0.0748259450497412,-10.7157612551387,-21.9738605059906,-37.1213747194682,-17.0756541373571
"26","L_Nitrogen_Gomp","603-2008 A","SPIC",11.1424918503984,0.0849905868604376,-12.7658258471671,-22.6774872090549,-36.013400138319,-18.365092929633
"27","L_Nitrogen_Gomp","666-94 A","DAVI",13.440802990377,0.100623653856127,-11.0925563021753,-19.4643246054139,-30.7283467586785,-15.821911449699
"28","L_Nitrogen_Gomp","699-89 A","CAMP",14.0259161833875,0.0719353468359355,-20.0967726464792,-31.807259256491,-47.5634502812299,-26.7122268878061
"29","L_Nitrogen_Gomp","750-55 B","PSEP",21.7626119345178,0.114861120367651,-12.6735421426903,-20.0075983769705,-29.875402752811,-16.816675988189
"30","L_Nitrogen_Gomp","78-2000 B","TATA",10.4309425626314,0.0818008488498784,-12.8468489779465,-23.1450051432297,-37.0009379619457,-18.6644535874104
"31","L_Nitrogen_Gomp","Bussey1","NEGU",4.7143314601298,0.0597089134512775,-7.99935819595588,-22.1077696075313,-41.0903134299495,-15.9694411839076
"32","L_Nitrogen_Gomp","Bussey2","NEGU",5.02820559398609,0.0547614579150897,-10.8025539814067,-26.1855979685656,-46.8831306736897,-19.4926987190613
"33","L_Nitrogen_Gomp","Bussey3","NEGU",3.32609874819158,0.0410447184728186,-7.68595575234853,-28.2098610744582,-55.824304743464,-19.2802610133838
"34","L_Nitrogen_Gomp","Weld1","PLAT",8.39167427489345,0.0695282199453174,-13.7508606224708,-25.8667743704612,-42.1684583064123,-20.595347590516
"35","L_Nitrogen_Gomp","Weld2","PLAT",6.49784203038226,0.0677683059715146,-10.5934781918946,-23.0240370472814,-39.7490687553821,-17.6157135643877
"36","L_Nitrogen_Gomp","Weld3","PLAT",5.21410392324015,0.0525140510382238,-12.3841472581598,-28.425528550485,-50.0088389934911,-21.4461980030305
